,"Biodiffusor","Bioirrigator","No_bioturbation","Surface_modifier","Large","Medium","Small","None","Permanent","Deposit_feeder","Filter_suspension","Grazer_scraper","Omnivore","Predator","Scavenger_opportunist","Sub.surface_deposit_feeder","Mobile","Sessile_attached","Hard","Hard_exoskeleton","Hard_shell","Irregular","Round","Fragile_Soft","Vermiform","Burrower","Crawler","None.1","Swimmer","Attached_sessile","Burrower.1","Free.living_Surface_crawler","Tube_dwelling","Attached","Bentho.pelagic","Deeper_than_3cm","Surface_shallow_Less_3cm","Pelagic.planktotrophic","Pelagic_lecthrotophic","Benthic","Brooder_Direct_developer","No_larvae","Les_1year","X1.3_years","X3.10_years","Sexual_pelagic_shed_eggs","Sexual_benthic_shed_eggs","Sexual_encapsulation_.gelatinous.mass.","Sexual_ovigerous_broad_eggs","Asexual","Sexual_direct_development","Annual","Continuos","Seasonal"
"Pinna bicolor",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,2,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Placamen flindersi",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Plakarthriidae",0,0,4,0,0,4,0,4,0,2,1,1,0,0,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,2,2,0,0,0,0,4,0,0,0,4,0
"Platynympha longicaudata",0,4,0,0,0,4,0,4,0,1,1,2,0,0,0,0,4,0,0,2,0,2,0,0,0,2,0,0,1,0,3,1,0,0,1,2,1,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Polynoidae",0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Polyplacophora",0,0,0,4,2,2,0,4,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Portunus pelagicus",0,0,0,4,4,0,0,4,0,0,0,0,2,1,1,0,4,0,0,2,0,2,0,0,0,1,2,0,1,0,1,3,0,0,3,0,1,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Propefusus australis",1,0,2,1,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,3,0,0,0,1,0,2,2,0,1,2,1,0,0,4,0,0
"Pteriidae",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Pterochelus triformis",0,0,0,4,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,0
"Rathbunaria orientalis",0,4,0,0,2,2,0,4,0,1,1,0,0,1,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Rhyssoplax sp.",0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0
"Rissoina crassa",0,0,0,4,0,4,0,4,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Rissoina fasciata",0,0,4,0,0,2,2,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,2,2,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0
"Sabellariidae",0,0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,0,2,0,0,2,4,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Sabellidae",0,4,0,0,2,1,1,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,4,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Sabia australis",0,0,4,0,3,1,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0
"Saccella crassa",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0
"Salinator fragilis",3,0,0,1,2,1,1,4,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,0,4,0,4,0,0,2,2,0,0,0,4,0,0
"Scissurella cyprina",0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Serpulidae",0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4,0,0,4,0,2,2,0,0,0,0,4,0,2,0,0,2,0,0,4,0,0
"Sigalionidae",0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,2,0,0,2,0,0,4,0,0
"Simplisetia aequisetis",0,4,0,0,4,0,0,4,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,2,1,1,0,0,3,1,1,0,1,2,0,0,1,3,0,0,0,4,0,0,4,0,0
"Sipuncula",0,4,0,0,3,1,1,4,0,1,1,0,0,0,2,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,0,0,0,0,4,2,2,0,0,0,0,2,2,2,2,0,0,0,0,4,0,0
"Solemya australis",0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0
"Sphaerosyllis sp.",0,4,0,0,0,4,0,4,0,1,1,0,0,2,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,0,2,2,1,1,0,2,0,0,4,0,2,0,0,2,0,0,4,0,0
"Spionidae",0,0,0,4,0,2,2,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,0,0,0,0,4,1,1,1,1,0,0,4,0,0,0,1,2,1,0,4,0,0
"Spisula trigonella",0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
"Stenochiton cymodocealis",0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Stenochiton pilsbryanus",0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Stenochiton sp.",0,0,0,4,3,1,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,3,1,4,0,0,0,0,0,4,0,0
"Stimdromia lateralis",0,0,0,4,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,0,0,4,0,0,4,0,0
"Syllidae",0,4,0,0,0,2,2,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,0,2,2,1,1,0,2,0,0,4,0,2,0,0,2,0,0,4,0,0
"Synischia levidensis",0,0,4,0,2,2,0,4,0,2,0,2,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Tanaidacea",0,0,0,4,1,2,1,4,0,0,1,0,0,3,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Tanea sagittata",0,2,2,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0
"Tasmanoplax latifrons",0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0
"Tawera lagopus",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Tellinides margaritinus",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
"Tellina sp.",0,4,0,0,1,2,1,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,4,0,0,0,0,0,1,3,0,4,0,0,0,0,4,0,0
"Temnopleurus michaelseni",0,0,0,4,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4
"Terebellidae",0,4,0,0,2,1,1,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,2,2,0,1,2,1,1,1,1,1,0,0,2,2,1,1,1,1,0,0,4,0,0
"Trapezidae",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Trichobranchidae",0,4,0,0,2,2,0,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Tucetona sp.",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Turritellidae",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Uniophora granifera",0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,2,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4
"Veneridae",0,2,0,2,3,1,0,4,0,1,3,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Venerupis anomala",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Vitrinellidae",0,0,0,4,0,4,0,4,0,2,0,2,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,4,2,0,0,2,0,0,4,0,0,0,2,2,0,0,4,0,0
"Xenostrobus inconstans",2,0,0,2,0,2,2,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,1,1,2,0,0,2,0,2,4,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0
"Zeacumantus diemenensis",0,1,2,1,2,2,0,4,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,1,1,1,1,0,0,0,4,0,2,2,0,0,0,4,0,0
"Zeacumantus plumbeus",0,1,2,1,1,2,1,4,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,1,1,1,1,0,0,0,4,0,2,2,0,0,0,4,0,0
